ProductID,Name,TotalRating,AverageScore
1,ASUS Zenfone Max ,0,0.0
2,Benco 4G G3Mẫu mới,0,0.0
3,HONOR 200 5G,0,0.0
4,HONOR 90 5G 12GB/256GB,0,0.0
5,HONOR X5 Plus 4GB/64GB,0,0.0
6,HONOR X6a 4GB/128GB,0,0.0
7,HONOR X6b,0,0.0
8,HONOR X7c 8GB/256GBMẫu mới,0,0.0
9,HONOR X8b 8GB/512GB,0,0.0
10,Itel it2600,0,0.0
11,Itel it9211,0,0.0
12,Itel it9310,0,0.0
13,Lenovo Gaming LOQ 15ARP9 ,0,0.0
14,Lenovo Gaming LOQ 15IAX9 ,0,0.0
15,Lenovo Gaming LOQ 15IAX9 ,0,0.0
16,Lenovo Gaming LOQ 15IAX9 ,0,0.0
17,Lenovo Gaming LOQ 15IRX9 ,0,0.0
18,Lenovo Gaming Legion 5 16IRX9 ,0,0.0
19,Lenovo Gaming Legion Pro 5 16IRX9 ,0,0.0
20,Lenovo Gaming Legion Pro 5 16IRX9 ,0,0.0
21,Lenovo Gaming Legion Pro 7 16IRX9H ,0,0.0
22,Lenovo Gaming Legion Slim 5 16AHP9 ,0,0.0
23,Lenovo IdeaPad 1 15AMN7 ,0,0.0
24,Lenovo IdeaPad Slim 5 14IMH9 ,0,0.0
25,Lenovo IdeaPad Slim 5 14IMH9 ,0,0.0
26,Lenovo Ideapad 1 15ALC7 ,0,0.0
27,Lenovo Ideapad Slim 3 15AMN8 ,0,0.0
28,Lenovo Ideapad Slim 3 15IAH8 ,0,0.0
29,Lenovo Ideapad Slim 3 15IRH8 ,0,0.0
30,Lenovo Ideapad Slim 5 14IAH8 ,0,0.0
31,Lenovo Ideapad Slim 5 14IMH9 ,0,0.0
32,Lenovo Ideapad Slim 5 15IRU9 ,0,0.0
33,Lenovo Ideapad Slim 5 16IMH9 ,0,0.0
34,Lenovo Ideapad Slim 5 16IMH9 ,0,0.0
35,Lenovo Tab ,0,0.0
36,Lenovo Tab ,0,0.0
37,Lenovo Tab ,0,0.0
38,Lenovo Tab ,0,0.0
39,Lenovo Tab ,0,0.0
40,Lenovo Tab ,0,0.0
41,Lenovo Tab Plus WiFi 8GB/256GB,0,0.0
42,Lenovo ThinkBook 14 ,0,0.0
43,Lenovo ThinkBook 16 G7 ,0,0.0
44,Lenovo ThinkPad E14 Gen 6 ,0,0.0
45,Lenovo ThinkPad T14s ,0,0.0
46,Lenovo Thinkpad X13 ,0,0.0
47,Lenovo Thinkpad X13 ,0,0.0
48,Lenovo V14 ,0,0.0
49,Lenovo V14 G4 ,0,0.0
50,Lenovo V15 G4 IRU ,0,0.0
51,Lenovo V15 G5 IRL ,0,0.0
52,Lenovo Yoga Slim 7 14IMH9 ,0,0.0
53,Masstel Fami 50 4G,0,0.0
54,Masstel Fami 60S 4G,0,0.0
55,Masstel IZI 10 4G,0,0.0
56,Masstel IZI T6 4G,0,0.0
57,Masstel Lux 10,0,0.0
58,Mobell ,0,0.0
59,Mobell ,0,0.0
60,Mobell ,0,0.0
61,Mobell F209 4G,0,0.0
62,Mobell F309 4G,0,0.0
63,Mobell Rock 4 4G,0,0.0
64,Nokia 105,0,0.0
65,Nokia 105 4G Pro,0,0.0
66,Nokia 110 4G Pro,0,0.0
67,Nokia 220 4G,0,0.0
68,Nokia 3210 4G,0,0.0
69,Nokia HMD 105 4G,0,0.0
70,OPPO A18 4GB/64GB,0,0.0
71,OPPO A3,0,0.0
72,OPPO A38,0,0.0
73,OPPO A3x,0,0.0
74,OPPO A58,0,0.0
75,OPPO A60,0,0.0
76,OPPO A78 8GB/256GB,0,0.0
77,OPPO A79 5G 8GB/256GB,0,0.0
78,OPPO Find N3 5G 16GB/512GB,0,0.0
79,OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng,0,0.0
80,OPPO Find X8,0,0.0
81,OPPO Find X8 Pro,0,0.0
82,OPPO Reno10 Pro+ 5G 12GB/256GB,0,0.0
83,OPPO Reno11 Pro 5G 12GB/512GB,0,0.0
84,OPPO Reno12 5G,0,0.0
85,OPPO Reno12 5G 12GB/256GB Hồng,0,0.0
86,OPPO Reno12 F 5G,0,0.0
87,OPPO Reno12 F 8GB/256GB,0,0.0
88,OPPO Reno12 Pro 5G 12GB/512GB,0,0.0
89,Samsung Galaxy ,0,0.0
90,Samsung Galaxy ,0,0.0
91,Samsung Galaxy ,0,0.0
92,Samsung Galaxy ,0,0.0
93,Samsung Galaxy A05s,0,0.0
94,Samsung Galaxy A06,0,0.0
95,Samsung Galaxy A15,0,0.0
96,Samsung Galaxy A15 5G 8GB/256GB,0,0.0
97,Samsung Galaxy A16 5GMẫu mới,0,0.0
98,Samsung Galaxy A16Mẫu mới,0,0.0
99,Samsung Galaxy A25 5G,0,0.0
100,Samsung Galaxy A35 5G,0,0.0
101,Samsung Galaxy A55 5G,0,0.0
102,Samsung Galaxy S23 ,0,0.0
103,Samsung Galaxy S23 FE 5G,0,0.0
104,Samsung Galaxy S24 ,0,0.0
105,Samsung Galaxy S24 5G,0,0.0
106,Samsung Galaxy S24 FE 5G,0,0.0
107,Samsung Galaxy S24+ 5G,0,0.0
108,Samsung Galaxy Tab S9 5G 12GB/256GB,0,0.0
109,Samsung Galaxy Tab S9 5G 8GB/128GB,0,0.0
110,Samsung Galaxy Tab S9 WiFi 12GB/256GB,0,0.0
111,Samsung Galaxy Tab S9 WiFi 8GB/128GB,0,0.0
112,Samsung Galaxy Z Flip6 5G,0,0.0
113,Samsung Galaxy Z Fold6 5G,0,0.0
114,TCL 406s 4GB/64GB,0,0.0
115,TCL Tab 10 Gen 2 4G 4GB/64GB,0,0.0
116,TCL Tab 10L Gen 2 WiFi 3GB/32GB,0,0.0
117,Tecno Spark 20C 8GB/128GB,0,0.0
118,Tecno Spark GO 1 3GB/64GBMẫu mới,0,0.0
119,Tecno Spark Go 2024 3GB/64GB,0,0.0
120,Viettel Sumo 4G T2Mẫu mới,0,0.0
121,Xiaomi 14 ,0,0.0
122,Xiaomi 14 5G,0,0.0
123,Xiaomi 14T 5G 12GB/512GB XanhMẫu mới,0,0.0
124,Xiaomi 14T 5GMẫu mới,0,0.0
125,Xiaomi 14T Pro 5GMẫu mới,0,0.0
126,Xiaomi POCO ,0,0.0
127,Xiaomi Redmi 13,0,0.0
128,Xiaomi Redmi 14C,0,0.0
129,Xiaomi Redmi A3,0,0.0
130,Xiaomi Redmi Note 13,0,0.0
131,Xiaomi Redmi Note 13 Pro,0,0.0
132,Xiaomi Redmi Note 13 Pro 5G,0,0.0
133,iPhone 11,0,0.0
134,iPhone 12,0,0.0
135,iPhone 13,0,0.0
136,iPhone 14,0,0.0
137,iPhone 14 Plus,0,0.0
138,iPhone 15,0,0.0
139,iPhone 15 Plus,0,0.0
140,iPhone 15 Pro,0,0.0
141,iPhone 15 Pro Max,0,0.0
142,iPhone 16,0,0.0
143,iPhone 16 Plus,0,0.0
144,iPhone 16 Pro,0,0.0
145,iPhone 16 Pro Max,0,0.0
146,realme 12,0,0.0
147,realme 13+ 5GMẫu mới,0,0.0
148,realme C53 8GB/256GB,0,0.0
149,realme C60 4GB/64GB,0,0.0
